name,lat,lng,start,end,load,priority
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
unsw,-33.9173,151.2313,06:00,09:00,,high
22 Grams Cafe,-33.9169924,151.240659,06:00,,1,low
A Little More Cafe,-33.914235,151.239681,06:00,09:00,1,low
169 cafe,-33.9129047,151.2397979,06:00,09:00,1,high
Bondi Massive Cafe,-33.8947232,151.2729782,06:00,09:00,4,low
Bavarian Bier Café Bondi Beach,-33.8913739,151.2733981,06:00,09:00,3,low
Cafe Brazil,-33.8943308,151.2654298,06:00,09:00,1,low
3 Steps Cafe,-33.893944,151.261942,09:00,12:00,2,low
Bennett St Dairy,-33.8936249,151.2606362,06:00,,3,high
Boon Cafe,-33.878742,151.2070351,09:00,12:00,1,high
Bangbang Cafe,-33.8814895,151.2124099,09:00,12:00,4,low
Brewing Now,-33.9234794,151.2273089,06:00,,1,
Billy's Bar Espresso,-33.9406689,151.2386895,09:00,12:00,2,high
2036lb Beach Café,-33.980576,151.2497303,09:00,12:00,1,high
Bare Grill and Cafe,-33.9880673,151.2326939,12:00,15:00,2,low
Bread & Beans Café by ME,-33.957595,151.231204,12:00,15:00,1,low
Cafe Bacetti,-33.9574586,151.2246609,12:00,15:00,1,low
A Man and his Monkey Cafe,-33.909788,151.251265,,,2,high
Bellagio Cafe,-33.9027117,151.2550154,12:00,15:00,3,low
Ampersand Cafe & Bookstore,-33.8831036,151.2209812,06:00,09:00,1,low
Berkelouw Café 1812,-33.8827006,151.2200355,12:00,15:00,3,low
